"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
214,"NCT03981341","Impact of Estrogen + Estradiol Receptor Alpha Modulator Therapy on Oxidative Stress in Post-menopausal Women With and Without Sleep Apnea","Alpha MenoX","Recruiting","No Results Available","Sleep Apnea|Post Menopausal|Oxidative Stress","Drug: Duavive (0.45 estrogens mg and 20 mg bazedoxifene)","oxidative stress|glucose homeostasis|total cholesterol|triglycerides|aspartate aminotransferase (AST)|gamma-glutamyl transferase (∂-GT)|Orexin-A|C-reactive protein|arterial blood pressure|heart rate variability","Laval University|V Joseph|C Minville|C Rheaume","Female","45 Years to 65 Years   (Adult, Older Adult)","Phase 3","36","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","IUCPQ220519","November 1, 2019","December 1, 2023","December 1, 2023","June 10, 2019",,"April 8, 2022","IUCPQ, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT03981341"
215,"NCT05325775","Dose-ranging, PK, Safety, Efficacy Study of Osanetant in Patients With Moderate/Severe VMS Associated With Menopause",,"Recruiting","No Results Available","Post-menopausal Vasomotor Symptoms","Drug: ACER-801 50 mg BID|Drug: ACER-801 100 mg BID|Drug: ACER-801 200 mg BID|Drug: Placebo","Peak Plasma Concentration (Cmax) of ACER-801|Time to reach maximum concentration (tmax) of ACER-801|Area under the concentration curve from dosing to the time of the last measured concentration (AUClast) of ACER-801|Area under the concentration curve from t0 to infinite time (AUCinf) of ACER-801|Metabolite:parent ratio of Cmax (MRCmax) of ACER-801|Metabolite:parent ratio of AUC (MRauc) of ACER-801|Half-life (t1/2) of ACER-801|Accumulation ratio for Cmax (ARcmax) of ACER-801|Accumulation ratio for AUC (ARcauc) of ACER-801|Peak Plasma Concentration (Cmax) of ACER-801 metabolite|Time to reach maximum concentration (tmax) of ACER-801 metabolite|Area under the concentration curve from dosing to the time of the last measured concentration (AUClast) of ACER-801 metabolite|Area under the concentration curve from t0 to infinite time (AUCinf) of ACER-801 metabolite|Metabolite:parent ratio of Cmax (MRcmax) of ACER-801 metabolite|Accumulation ratio for AUC (MRauc) of ACER-801 metabolite|Half-life (t1/2) of ACER-801 metabolite|Accumulation ratio for Cmax (ARcmax) of ACER-801 metabolite|Accumulation ratio for AUC (ARcauc) of ACER-801 metabolite|Number of patients with a clinically significant change from baseline in abnormalities detected during physical examination|Number and percentage of Adverse Events ≥ 5%|Number and percentage of Serious Adverse Events (SAE)|Number and percentage of subjects who discontinued from the study|Number of subjects with a clinically significant change from baseline for clinical laboratory evaluations: HEMATOLOGY|Number of subjects with a clinically significant change from baseline for clinical laboratory evaluations: COAGULATION|Number of subjects with a clinically significant change from baseline for clinical laboratory evaluations: SERUM CHEMISTRY|Number of subjects with a clinically significant change from baseline for clinical laboratory evaluations: HORMONES|Number of subjects with a clinically significant change from baseline for clinical laboratory evaluations: BONE DENSITY MARKERS|Number of subjects with a clinically significant change from baseline for clinical laboratory evaluations: URINALYSIS|Change in frequency of vasomotor symptoms (hot flashes) from baseline|Change in severity of vasomotor symptoms (hot flashes) from baseline|Change in severity score vasomotor symptoms (hot flashes) from baseline","Acer Therapeutics Inc.","Female","40 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ACER-801-201","March 30, 2022","March 31, 2023","March 31, 2023","April 13, 2022",,"February 1, 2023","Spaulding Clinical Research, West Bend, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT05325775"
216,"NCT01290094","A Study of Bonviva/Boniva (Ibandronate) in Biphosphonate-Naïve Women With Post-Menopausal Osteoporosis",,"Completed","Has Results","Post Menopausal Osteoporosis","Drug: ibandronate [Bonviva/Boniva]","Percent Change From Baseline in Mean Lumbar Spine Bone Mineral Density (BMD) at Month 12|Percent Change From Baseline in Mean Lumbar Spine BMD at Month 24|Percent Change From Baseline in Mean Hip Bone BMD at Month 12|Percent Change From Baseline in Mean Hip BMD at Month 24|Percent Change From Baseline in Lumbar Spine T-score at Month 12 and 24|Percent Change From Baseline in Total Hip T-score at Month 12 and 24|Percentage of Participants Who Received All Planned Study Medication (Compliance)|Correlation Coefficient of Participant's Profile With Compliance","Hoffmann-La Roche","Female","50 Years and older   (Adult, Older Adult)","Phase 3","41","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ML25399","April 2011","July 2014","July 2014","February 4, 2011","August 13, 2015","August 13, 2015","Banja Luka, Bosnia and Herzegovina|Sarajewo, Bosnia and Herzegovina",,"https://ClinicalTrials.gov/show/NCT01290094"
217,"NCT00129623","A Study of Bonviva (Ibandronate) Once Monthly in Post-Menopausal Women With Osteopenia",,"Completed","Has Results","Post-Menopausal Osteopenia","Drug: Placebo|Drug: ibandronate [Bonviva/Boniva]","Relative Change From Baseline in Mean Bone Mineral Density (BMD) of the Lumbar Spine (L2 to L4) at Month 12|Absolute Change From Baseline in Mean Lumbar Spine BMD at Month 12|Relative Change From Baseline in Mean Proximal Femur BMD at Month 12|Absolute Change From Baseline in BMD of the Proximal Femur at Month 12|Relative Change From Baseline in Serum C-telopeptide Crosslinks of Type 1 Collagen (CTX)|Absolute Change From Baseline in sCTX|Percentage of Responders|Number of Participants With Any Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Participants With Marked Laboratory Abnormalities","Hoffmann-La Roche","Female","45 Years to 60 Years   (Adult)","Phase 4","160","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","BA18492","December 2005","December 2007","December 2007","August 12, 2005","January 11, 2016","January 11, 2016","Lakewood, Colorado, United States|Stuart, Florida, United States|Bethesda, Maryland, United States|Detroit, Michigan, United States|St Louis, Missouri, United States|Omaha, Nebraska, United States|Albuquerque, New Mexico, United States|Cincinnati, Ohio, United States|Portland, Oregon, United States|Amarillo, Texas, United States|Norfolk, Virginia, United States|Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00129623"
218,"NCT00545090","ExBonAdAsia Study: A Study of Once Monthly Bonviva (Ibandronate) in Women With Post-Menopausal Osteoporosis.",,"Completed","No Results Available","Post Menopausal Osteoporosis","Drug: ibandronate [Bonviva/Boniva]","SAEs, AEs including fractures, adherence to treatment, clinical improvement, osteoporosis symptoms","Hoffmann-La Roche","Female","up to 85 Years   (Child, Adult, Older Adult)","Phase 4","561","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ML19937","August 2006","June 2008","June 2008","October 17, 2007",,"November 10, 2016","Hong Kong, Hong Kong|Jakarta, Indonesia|Makassar, Indonesia|Surabaya, Indonesia|Manila, Philippines|Quezon City, Philippines|Changhua, Taiwan|Taichung, Taiwan|Taichung, Taiwan|Tainan, Taiwan|Taipei, Taiwan|Taipei, Taiwan|Taoyuan, Taiwan|Bangkok, Thailand|Bangkok, Thailand|Chiang Mai, Thailand|Khon Kaen, Thailand",,"https://ClinicalTrials.gov/show/NCT00545090"
219,"NCT00551174","A Study of Bonviva (Ibandronate) in Women With Post-Menopausal Osteoporosis Who Have Received Previous Bonviva Treatment",,"Completed","Has Results","Post-Menopausal Osteoporosis","Drug: ibandronate [Bonviva/Boniva]","Relative Percent Change From Baseline in Mean Lumbar Spine Bone Mineral Density (BMD) at 12, 24 and 36 Months|Relative Percent Change From Baseline in Mean Total Hip BMD at 12, 24 and 36 Months|Relative Percent Change From Baseline in Serum C-telopeptide Crosslinks of Type I Collagen (CTX) at Trough at 6, 12, 24 and 36 Months|Relative Percent Change From Baseline in Post-dose Suppression of Serum CTX at 6 Months","Hoffmann-La Roche","Female","Child, Adult, Older Adult","Phase 4","781","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MA17904","October 2004","November 2008","November 2008","October 30, 2007","May 30, 2011","July 22, 2011","Gainesville, Georgia, United States|St Louis, Missouri, United States|Omaha, Nebraska, United States|Bismarck, North Dakota, United States|Fargo, North Dakota, United States|Madison, Wisconsin, United States|St. Leonards, Australia|Sydney, Australia|Bruxelles, Belgium|Liege, Belgium|Plzen, Czech Republic|Praha, Czech Republic|Aalborg, Denmark|Ballerup, Denmark|København, Denmark|Vejle, Denmark|Århus, Denmark|Lyon, France|Orleans, France|Berlin, Germany|Essen, Germany|Hamburg, Germany|Budapest, Hungary|Arenzano, Italy|Siena, Italy|Valeggio Sul Mincio, Italy|Mexico City, Mexico|Monterrey, Mexico|Haugesund, Norway|Oslo, Norway|Stavanger, Norway|Grudziadz, Poland|Krakow, Poland|Krakow, Poland|Cape Town, South Africa|Pretoria, South Africa|Sommerset West, South Africa|Madrid, Spain|Aberdeen, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00551174"
220,"NCT00545779","BONCURE Study: A Study of Monthly Bonviva (Ibandronate) in Women With Post-Menopausal Osteoporosis on Bisphosphonate Therapy.",,"Completed","Has Results","Post-Menopausal Osteoporosis","Drug: Ibandronate","Percentage of Participants Current Daily or Weekly Bisphosphonate Users in Part A Who Answer 'Yes' to Any of the Questions in the Candidate Identification Questionnaire (CIQ)|Percentage of Participants Who Reported Preference for Monthly Ibandronate|Percentage of Participants With Positive Change in Total Composite Satisfaction Score (CSS) at Month 6 in Part B by CIQ Fracture (Fr) Group|Percentage of Participants Eligible Current Daily or Weekly Bisphosphonate Users at Screening Who Elect to Enter Part B by CIQ|Percentage of Participants Who Reported an Improved Satisfaction Score After 6 Months in Part B|Percentage of Participants Who Have Greater Than or Equal to (>=) 80% Compliance With 6 Monthly Doses of Ibandronate in Part B|Percentage of Participants Who Choose a Monthly Reminder to Take Ibandronate in Part B|Percentage of Participants Who Reported an Improvement in the Frequency of Gastro-intestinal (GI) Symptoms Per Month in Part B|Percentage of Participants by Age and Activity Level Reporting High Satisfaction According to the Osteoporosis Patient Satisfaction Questionnaire (OPSAT-Q) in Part B|Osteoporosis Patient Satisfaction Questionnaire (OPSAT-Q) Domain Scores in Part B","Hoffmann-La Roche","Female","Child, Adult, Older Adult","Phase 3","677","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ML20430","December 2006","October 2008","October 2008","October 17, 2007","October 28, 2016","October 28, 2016","Tirana, Albania|Banja Luka, Bosnia and Herzegovina|Sarajevo, Bosnia and Herzegovina|Sarajevo, Bosnia and Herzegovina|Tuzla, Bosnia and Herzegovina|Rijeka, Croatia|Slavonski Brod, Croatia|Split, Croatia|Zagreb, Croatia|Skopje, Macedonia, The Former Yugoslav Republic of|Belgrade, Serbia|Niska Banja, Serbia|Novi Sad, Serbia|Adana, Turkey|Ankara, Turkey|Ankara, Turkey|Antalya, Turkey|Aydin, Turkey|Bursa, Turkey|Denizli, Turkey|Erzurum, Turkey|Gaziantep, Turkey|Istanbul, Turkey|Istanbul, Turkey|Istanbul, Turkey|Istanbul, Turkey|Izmir, Turkey|Kayseri, Turkey|Konya, Turkey|Manisa, Turkey|Samsun, Turkey|Trabzon, Turkey",,"https://ClinicalTrials.gov/show/NCT00545779"
221,"NCT00377234","A Study Comparing Monthly Boniva (Ibandronate) and Weekly Risedronate in Women With Post-Menopausal Osteoporosis.",,"Completed","Has Results","Post Menopausal Osteoporosis","Drug: Risedronate|Drug: ibandronate [Bonviva/Boniva]","Percentage of Participants Who Preferred Ibandronate Monthly Dosing to Risedronate Weekly Dosing|Percentage of Participants Who Found Once-monthly Ibandronate to be More Convenient Than Once-weekly Risedronate|Intensity of Upper Gastrointestinal (GI) Symptoms|Mean Change From Baseline in Bone Resorption and Bone Formation Markers, Serum C-telopeptide of α-chain of Type I Collagen (CTX) and Bone Specific Alkaline Phosphatase (BSAP)|Median Change From Baseline in Bone Resorption and Bone Formation Markers, Serum C-telopeptide of α-chain of Type I Collagen (CTX) and Bone Specific Alkaline Phosphatase (BSAP)","Hoffmann-La Roche","Female","55 Years to 80 Years   (Adult, Older Adult)","Phase 4","356","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MA19547","May 2006","August 2008","August 2008","September 18, 2006","July 22, 2015","August 1, 2016","Birmingham, Alabama, United States|Mesa, Arizona, United States|Scottsdale, Arizona, United States|Jonesboro, Arkansas, United States|Anaheim, California, United States|San Diego, California, United States|Waterbury, Connecticut, United States|Boynton Beach, Florida, United States|Jupiter, Florida, United States|Largo, Florida, United States|Leesburg, Florida, United States|Merritt Island, Florida, United States|Ocala, Florida, United States|Pembroke Pines, Florida, United States|Spring Hill, Florida, United States|St Petersburg, Florida, United States|Tampa, Florida, United States|West Palm Beach, Florida, United States|Douglasville, Georgia, United States|Gainesville, Georgia, United States|Marietta, Georgia, United States|Madisonville, Kentucky, United States|Bethesda, Maryland, United States|Missoula, Montana, United States|Omaha, Nebraska, United States|Morehead City, North Carolina, United States|New Bern, North Carolina, United States|Jamestown, North Dakota, United States|Cincinnati, Ohio, United States|Cincinnati, Ohio, United States|Mogadore, Ohio, United States|Tulsa, Oklahoma, United States|Duncansville, Pennsylvania, United States|Erie, Pennsylvania, United States|Feasterville, Pennsylvania, United States|Philadelphia, Pennsylvania, United States|Anderson, South Carolina, United States|Memphis, Tennessee, United States|Selmer, Tennessee, United States|Bedford, Texas, United States|Bryan, Texas, United States|Dallas, Texas, United States|Houston, Texas, United States|Houston, Texas, United States|Temple, Texas, United States|Richmond, Virginia, United States|Richmond, Virginia, United States|Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00377234"
222,"NCT00303485","A Study of Bone Turnover Markers in Post-Menopausal Women With Osteoporosis Treated With Monthly Boniva (Ibandronate)",,"Completed","Has Results","Post Menopausal Osteoporosis","Drug: Placebo|Drug: Vitamin D and calcium supplementation|Drug: ibandronate [Bonviva/Boniva]","Relative Percent Change in Serum C-terminal Telopeptide of Type 1 Collagen Concentration (sCTX) From Baseline to Day 3|Relative Percent Change in Serum C-terminal Telopeptide of Type 1 Collagen (sCTX) Concentration From Baseline Over Time|Relative Percent Change in Bone Specific Alkaline Phosphatase (BSAP) Concentration From Baseline Over Time|Relative Percent Change in Parathyroid Hormone (PTH) From Baseline to Post Treatment Assessments|Percentage of Participants With a Serum C-terminal Telopeptide of Type1 Collagen (sCTX) Concentration Between 0.011 and 0.631 ng/mL and Who Have Achieved a Decrease in sCTX Concentration of at Least 8 Percent|Percentage of Participants With a Serum C-terminal Telopeptide of Type 1 Collagen (sCTX) Concentration Between 0.011 and 0.476 ng/mL|Percentage of Participants With a Serum C-terminal Telopeptide of Type 1 Collagen (sCTX) Concentration Between 0.011 and 0.321 ng/mL|Difference Between the Minimum and Maximum Relative Percent Change in Serum C-terminal Telopeptide of Type 1 Collagen (sCTX) Concentrations|Number of Participants With Any Marked Abnormality in Laboratory Parameters|Number of Participants With Any Adverse Event or Serious Adverse Event","Hoffmann-La Roche","Female","65 Years and older   (Older Adult)","Phase 4","67","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ML19334","February 2006","June 2007","June 2007","March 17, 2006","May 2, 2016","May 2, 2016","Beverly Hills, California, United States|La Jolla, California, United States|Augusta, Georgia, United States|Woodbury, Minnesota, United States|Bronx, New York, United States|Hopwood, Pennsylvania, United States|Madison, Wisconsin, United States|Ponce, Puerto Rico|San Juan, Puerto Rico|San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT00303485"
223,"NCT00081653","A Study of Bonviva (Ibandronate) in Women With Post-Menopausal Osteoporosis Previously Treated With Bonviva",,"Completed","Has Results","Post-Menopausal Osteoporosis","Drug: ibandronate [Bonviva/Boniva]","Absolute Change From Baseline in Mean Lumbar Spine (L2 - L4) BMD|Relative Percent (%) Change From Baseline in Mean Lumbar Spine (L2 - L4) Bone Mineral Density (BMD)|Absolute Change From Baseline in Mean Total Hip BMD|Relative Percent Change From Baseline in Mean Total Hip BMD|Absolute Change From Baseline of Trough Serum CTX|Relative Percent Change From Baseline of Trough Serum CTX","Hoffmann-La Roche","Female","Child, Adult, Older Adult","Phase 4","719","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","MA17903","May 2004","November 2007","May 2008","April 21, 2004","July 21, 2009","July 14, 2017","Loma Linda, California, United States|Lakewood, Colorado, United States|Omaha, Nebraska, United States|Livingston, New Jersey, United States|Portland, Oregon, United States|Liege, Belgium|Merksem, Belgium|Sao Paulo, Brazil|Plzen, Czechia|Praha, Czechia|Aalborg, Denmark|Ballerup, Denmark|Vejle, Denmark|Lyon, France|Berlin, Germany|Hannover, Germany|Balatonfuered, Hungary|Budapest, Hungary|Budapest, Hungary|Kiskunhalas, Hungary|Zalaegerszeg, Hungary|Siena, Italy|Leon, Mexico|Obregon, Mexico|Haugesund, Norway|Stavanger, Norway|Krakow, Poland|Warszawa, Poland|Barcelona, Spain|Madrid, Spain|Southampton, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00081653"
224,"NCT00048061","MOBILE Study - A Study of Bonviva (Ibandronate) Regimens in Women With Post-Menopausal Osteoporosis",,"Completed","Has Results","Post Menopausal Osteoporosis","Drug: Ibandronate [Bonviva/Boniva]|Dietary Supplement: Calcium|Dietary Supplement: Vitamin D","Relative Change From Baseline at One Year (12 Months) in Mean Lumbar Spine (L2 - L4) Bone Mineral Density|Relative Change From Baseline at Two Years (24 Months) in Mean Lumbar Spine (L2-L4) BMD|Absolute Change From Baseline at One Year (12 Months) and Two Years (24 Months) in Mean Lumbar Spine (L2-L4) BMD|Relative Change From Baseline at One Year (12 Months) and Two Years (24 Months) in Mean Proximal Femur ( Total Hip, Trochanter, Femoral Neck) BMD|Absolute Change From Baseline at One Year (12 Months) and Two Years (24 Months) in Mean Proximal Femur ( Total Hip, Trochanter, Femoral Neck) BMD.|Percentage of Participants With Mean Lumbar Spine (L2 - L4) BMD Above or Equal to Baseline at Months 12 and 24|Percentage of Participants With Total Hip BMD Above or Equal to Baseline at Months 12 and 24|Percentage of Participants With Trochanter BMD Above or Equal to Baseline at Months 12 and 24|Percentage of Participants With Femoral Neck BMD Above or Equal to Baseline at Months 12 and 24|Percentage of Participants With Mean Total Hip and Lumbar Spine BMD Above or Equal to Baseline at Months 12 and 24|Percentage of Participants With Mean Trochanter and Lumbar Spine BMD Above or Equal to Baseline at Months 12 and 24|Percentage of Participants With Mean Femoral Neck and Lumbar Spine BMD Above or Equal to Baseline at Months 12 and 24|Relative Change In Baseline in Serum C-telopeptide of Alpha-chain of Type I Collagen [ CTX] ] to Months 3, 6, 12, and 24|Absolute Change In Baseline in Serum CTX to Months 12 and 24|Number of Participants With Any Adverse Events and Serious Adverse Event|Number Of Participants With Marked Laboratory Abnormalities","Hoffmann-La Roche","Female","55 Years to 80 Years   (Adult, Older Adult)","Phase 3","1609","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","BM16549","April 2002","December 2004","December 2004","October 25, 2002","May 30, 2016","March 29, 2018","Irvine, California, United States|Loma Linda, California, United States|Los Angeles, California, United States|Oakland, California, United States|Rancho Mirage, California, United States|Lakewood, Colorado, United States|Gainesville, Florida, United States|Bethesda, Maryland, United States|Wheaton, Maryland, United States|Saint Louis, Missouri, United States|Billings, Montana, United States|Omaha, Nebraska, United States|Livingston, New Jersey, United States|Albuquerque, New Mexico, United States|Portland, Oregon, United States|Wyomissing, Pennsylvania, United States|San Antonio, Texas, United States|Richmond, Virginia, United States|Seattle, Washington, United States|Madison, Wisconsin, United States|Adelaide, Australia|Adelaide, Australia|Parkville, Australia|Perth, Australia|Liege, Belgium|Merksem, Belgium|Campinas, Brazil|Curitiba, Brazil|Porto Alegre, Brazil|Sao Paulo, Brazil|Calgary, Alberta, Canada|Vancouver, British Columbia, Canada|Toronto, Ontario, Canada|Quebec City, Quebec, Canada|Plzen, Czechia|Praha, Czechia|Praha, Czechia|Aalborg, Denmark|Ballerup, Denmark|Vejle, Denmark|Caen, France|Lyon, France|Berlin, Germany|Hannover, Germany|Balatonfuered, Hungary|Budapest, Hungary|Budapest, Hungary|Kiskunhalas, Hungary|Zalaegerszeg, Hungary|Siena, Italy|Valeggio Sul Mincio, Italy|Leon, Mexico|Obregon, Mexico|Haugesund, Norway|Oslo, Norway|Stavanger, Norway|Krakow, Poland|Warszawa, Poland|Bucharest, Romania|Cape Town, South Africa|Johannesburg, South Africa|Barcelona, Spain|Madrid, Spain|Zürich, Switzerland|Cardiff, United Kingdom|Liverpool, United Kingdom|London, United Kingdom|Southampton, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00048061"
225,"NCT00048074","DIVA Study - A Study of Different Regimens of Intravenous Administration of Bonviva (Ibandronate) in Women With Post-Menopausal Osteoporosis",,"Completed","Has Results","Post Menopausal Osteoporosis","Drug: ibandronate [Bonviva/Boniva]","Relative Percent Change From Baseline in Mean Bone Mineral Density (BMD) of Lumbar Spine (L2-L4) at 12 Months|Relative Percent Change From Baseline in Mean BMD of Lumbar Spine (L2-L4) at 24 Months|Absolute Change From Baseline in Mean BMD of Lumbar Spine (L2 - L4) at Month 12 and Month 24|Relative Percent Change From Baseline in BMD of Proximal Femur (Consisting of Total Hip, Trochanter, and Femoral Neck) at Month 12 and 24|Absolute Change From Baseline in BMD of Proximal Femur (Consisting of Total Hip, Trochanter, and Femoral Neck) at Month 12 and 24|Relative Change From Baseline in Serum C-telopeptide of Alpha-chain of Type I Collagen (CTX) at Month 6, 12, and 24|Absolute Change From Baseline in Serum CTX at Month 6, 12, and 24|Percentage of Participants With Mean Lumbar Spine (L2 - L4) BMD Above or Equal to Baseline at Month 12 and 24|Percentage of Participants With Total Hip BMD Above or Equal to Baseline at Month 12 and 24|Percentage of Participants With Trochanter BMD Above or Equal to Baseline at Month 12 and 24|Percentage of Participants With Femoral Neck BMD Above or Equal to Baseline at Month 12 and 24|Percentage of Participants With Mean Total Hip and Lumbar Spine BMD Above or Equal to Baseline at Month 12 and 24|Percentage of Participants With Mean Trochanter and Lumbar Spine BMD Above or Equal to Baseline at Month 12 and 24|Percentage of Participants With Mean Femoral Neck and Lumbar Spine BMD Above or Equal to Baseline at Month 12 and 24|Number of Participants Who Experienced Any Adverse Events (AEs) or Serious Adverse Events (SAEs)|Number of Participants With Any Marked Abnormality in Laboratory Parameters","Hoffmann-La Roche","Female","55 Years to 80 Years   (Adult, Older Adult)","Phase 3","1395","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","BM16550","June 2002","May 2005","May 2005","October 25, 2002","February 3, 2016","February 3, 2016","Little Rock, Arkansas, United States|Irvine, California, United States|Rancho Mirage, California, United States|Leesburg, Florida, United States|Gainesville, Georgia, United States|Coeur D'alene, Idaho, United States|Bethesda, Maryland, United States|St Louis, Missouri, United States|Billings, Montana, United States|Omaha, Nebraska, United States|Albuquerque, New Mexico, United States|New York, New York, United States|Bismarck, North Dakota, United States|Fargo, North Dakota, United States|Wyomissing, Pennsylvania, United States|Rapid City, South Dakota, United States|San Antonio, Texas, United States|Virginia Beach, Virginia, United States|Madison, Wisconsin, United States|Darlinghurst, Australia|Melbourne, Australia|Nedlands, Australia|St. Leonards, Australia|Sydney, Australia|Bruxelles, Belgium|Liege, Belgium|Toronto, Ontario, Canada|Laval, Quebec, Canada|Montreal, Quebec, Canada|Montreal, Quebec, Canada|Saskatoon, Saskatchewan, Canada|Plzen, Czech Republic|Praha, Czech Republic|Aalborg, Denmark|Ballerup, Denmark|København, Denmark|Vejle, Denmark|Århus, Denmark|Lyon, France|Orleans, France|Berlin, Germany|Bochum, Germany|Hamburg, Germany|Budapest, Hungary|Arenzano, Italy|Siena, Italy|Valeggio Sul Mincio, Italy|Mexico City, Mexico|Monterrey, Mexico|Haugesund, Norway|Oslo, Norway|Stavanger, Norway|Grudziadz, Poland|Krakow, Poland|Krakow, Poland|Cape Town, South Africa|Pretoria, South Africa|Sommerset West, South Africa|Barcelona, Spain|Madrid, Spain|Santander, Spain|Aberdeen, United Kingdom|Manchester, United Kingdom|Newcastle Upon Tyne, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00048074"
226,"NCT00543218","PTH Comparison in Post Menopausal Women",,"Completed","No Results Available","Osteoporosis, Post-Menopausal","Drug: teriparatide 20 micrograms/day subcutaneous|Drug: calcitonin 100 IU/day subcutaneous","To compare in postmenopausal women with established osteoporosis the effect of treatment with teriparatide 20 micrograms/day subcutaneous with the effect of salmon calcitonin 100 IU/day subcutaneous on change in lumbar spine BMD.|To compare in postmenopausal women with established osteoporosis the effect of treatment with teriparatide 20 micrograms/day with the effect of calcitonin 100 IU/day on change in femoral neck and total hip BMD|Compare the effect of teriparatide 20 micrograms/day with calcitonin 100 IU/day on change in biochemical bone markers (bone specific alkaline phosphatase[BSAP] and Osteocalcin) at 3 and 6 months after treatment with teriparatide versus calcitonin|Safety as determined by physical examinations, vital signs, clinical labs and reports of adverse events","Eli Lilly and Company","Female","55 Years to 85 Years   (Adult, Older Adult)","Phase 3","63","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","6573|B3D-TW-GHCB","December 2002",,"June 2004","October 12, 2007",,"October 12, 2007","For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559) Mon-Fri from 9 am - 5 pm Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Changhua, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559) Mon-Fri from 9 am - 5 pm Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Niao Sung Hsiang, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559) Mon-Fri from 9 am - 5 pm Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Taipei, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559) Mon-Fri from 9 am - 5 pm Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Tao-Yuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT00543218"
227,"NCT01232647","Vitamin K as Additive Treatment in Osteoporosis","VITKANDOP","Unknown status","No Results Available","Post-menopausal Osteoporosis","Drug: Phylloquinone|Drug: Menatetrenone (MK4)|Drug: placebo","Primary outcome measures- Changes in BMD at the Lumber spine, hip, fore-arm at 18 months.|Secondary outcome measure- Bone Turnover as assessed by the biochemical markers (serum CTX, P1NP, BALP, carboxylated and undercarboxylated osteocalcin (OC), OPG). These markers will be measured at the same time point during each clinic visit.","Guy's and St Thomas' NHS Foundation Trust","Female","55 Years to 85 Years   (Adult, Older Adult)","Phase 2|Phase 3","105","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Eudract number - 2010-02258712","April 2015","March 31, 2020","March 31, 2020","November 2, 2010",,"February 13, 2020","Guy's and St Thomas' Hospital NHS foundation Trust, London, United Kingdom|Osteoporosis Unit, Guy's Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01232647"
